rowid,school_name,shool_code
195,首都师范大学附属云岗中学,1101060120053411000139341
196,北京市丰台区职业教育中心学校(附设普通高中班),1101060130033611000067349
197,北京市丰台区职业教育中心学校(职业高中学校),1101060130033611000067365
198,北京市第十八中学,1101060130123411000142341
199,北京戏曲艺术职业学院,1101060150064111012567368
200,北京市中桥外国语学校,1101060172003411000146342
201,北京市明德中学,1101060172003411000168342
202,北京市第十二中学,1101060172053411000129341
203,北京市第十二中学高中分校,1101060172053411000174342
204,北京市丰台区汽车维修职业学校,1101060182053611000072365
205,北京八一艺术学校,1101060182093611000073365
206,首都铁路卫生学校,1101060182113611000061362
207,中央广播电视中等专业学校中建协分校,1101061516757065235999
208,北京市黄庄职业高中(附设普通高中班),1101070010123611000056349
209,北京市黄庄职业高中(职业高中学校),1101070010123611000056365
210,北京景山学校远洋分校,1101070010233411000033345
211,北京市古城旅游职业学校,1101070020033611000057365
212,北京市礼文中学,1101070020173411000197341
213,北京市古城中学,1101070030253411000192341
214,北京师范大学励耘实验学校,1101070050093411000198345
215,首都师范大学附属苹果园中学,1101070050193411000193342
216,北京市艺考高级中学,1101070050193411000195342
217,北京市第九中学,1101070060243411000194342
218,北京盛基艺术学校,1101070100153611000058365
219,北京工业职业技术学院,1101070100164111010853368
220,北京师范大学附属中学京西分校,1101070100173411000171341
221,北京市京源学校,1101070110163411000196345
222,首钢矿业一中,1101071457682684368999
223,北京大学附属中学石景山学校,1101071458212109652999
224,中国人民大学附属中学翠微学校,1101080010013411000138341
225,北京市育英中学,1101080010163411000137341
226,北京市育英学校,1101080010183411000136345
227,北京十一实验中学,1101080010233411000053341
228,北京市建华实验学校,1101080010313411000061345
229,北京市十一学校,1101080010313411000111341
230,北京市玉渊潭中学,1101080030233411000103341
231,北京市第五十七中学,1101080030323411000140341
232,首都师范大学第二附属中学,1101080040043411000141341
233,北京市海淀实验中学,1101080040053411000143341
234,北京理工大学附属中学分校,1101080040263411000070341
235,首都师范大学,1101080040274111010028368
236,北京实验学校（海淀）,1101080040283411000060345
237,北京市经济管理学校,1101080050053611000032362
238,首都师范大学附属中学,1101080050103411000145341
239,北京市二十一世纪国际学校,1101080050253411000051345
240,北京市盲人学校,1101080050345111000013368
241,北京市六一中学,1101080050403411000101341
242,北京市万寿寺中学,1101080060053411000108341
243,中央民族大学附属中学,1101080060053411000176342
244,北京理工大学附属中学,1101080060093411000063345
245,北京舞蹈学院,1101080060184111010051368
246,中央民族大学,1101080060184111010052368
247,北京交通大学附属中学,1101080070023411000052341
248,北京交通大学附属中学第二分校,1101080070043411000071341
249,中国人民大学附属中学分校,1101080070203411000155341
250,北京交通大学附属中学分校,1101080080243411000115341
251,北京师范大学第三附属中学,1101080080253411000149341
252,北京市海淀区艺术职业学校,1101080080363611000037365
253,中国地质大学附属中学,1101080100113411000107341
254,北京科技大学附属中学,1101080100173411000151341
255,北京石油学院附属中学,1101080100183411000066341
256,北京矿业学院附属中学,1101080100273411000113341
257,北京市中关村中学,1101080110123411000152341
258,北京市一零一实验学校,1101080110153411000178342
259,北京市知春里中学,1101080110203411000150341
260,北京市广播电视中等专业学校,1101080110233611000120364
261,北京市八一学校,1101080120063411000156341
262,北京市信息管理学校(附设普通高中班),1101080120073611000011349
263,北京市信息管理学校(职业高中学校),1101080120073611000011365
264,北京市第十九中学,1101080120203411000100341
265,中国人民大学附属中学,1101080120243411000114341
266,北京市西颐实验学校,1101080120243411000148341
267,北京市第一O一中学,1101080130053411000157341
268,北京市清华志清中学,1101080130063411000050342
269,北京市海淀区职业学校,1101080130063611000041364
270,北京市第六十七中学,1101080130273411000036341
271,清华大学附属中学,1101080140073411000106341
272,清华大学附属实验学校,1101080140073411000325345
273,北京市北达资源中学,1101080150023411000119341
274,北京大学附属中学,1101080150023411000153341
275,北大附中香山学校,1101080160023411000109341
276,北京市第二十中学,1101080170213411000116341
277,北京市北外附属外国语学校,1101080170323411000069345
278,北京航空航天大学实验学校中学部,1101080180013411000064341
279,北京医学院附属中学,1101080180083411000158341
280,北京市商务管理学校,1101080180083611000038365
281,北京市环境与艺术学校,1101080180153611000035362
282,北京市第三聋人学校,1101080180165111000014368
283,北京市陶行知中学,1101080180233411000062341
284,首都师范大学附属育新学校,1101080190183411000159345
285,北京市海淀区卫生学校,1101080190263611000033362
286,人大附中西山学校,1101080200013411000160341
287,中国农业大学附属中学,1101080200163411000049341
288,北京市育英学校航天校区,1101080210093411000161341
289,北京体育大学附属中等体育专业学校,1101080220083611000051362
290,北京体育大学附属竞技体育学校,1101080220083611000052362
291,中国人民大学附属中学第二分校,1101080250013411000163341
292,北京市海淀区教师进修学校附属实验学校,1101080250243411000068341
293,北京市海淀工读学校,1101080262033711000004368
294,北京市温泉第二中学,1101080262063411000162341
295,北京市海淀外国语实验学校,1101080272033411000040345
296,北京市海淀国际学校,1101080272033411000045345
297,北京市海淀区尚丽外国语学校,1101080272083411000042345
298,北京市师达中学,1101080272103411000164341
299,北京市清华育才实验学校,1101080272103411000165341
300,北京市军乐艺术学校,1101080272103611000002365
301,北京市海淀区四季青成人中等专业学校,1101080272103611000039364
302,清华大学附属中学永丰学校,1101080280033411000180341
303,人大附中北大附小联合实验学校,1101080292033411000027341
304,北京市第四十七中学,1101080292123411000065341
305,首都体育学院附属竞技体育学校,1101080292133611000053362
306,北京市仕尚中学,1101080302023411000166341
307,北京市海淀区精华培训学校,1101081457595732592999
308,北京海淀区仁才培训中心,1101081457689417873999
309,北京市立新学校,1101081458349833380999
310,一佳高级中学,1101081458717638881999
311,铭师堂复读学校,1101081459080111946999
312,中国人民解放军八一体育工作大队高中部,1101081483669698522999
313,北师特培训学校,1101081484549922493999
314,私立新东方学校,1101081484550220018999
315,北京市八一学校附属玉泉中学,1101081484629639635999
316,北京舞研艺考舞蹈培训学校,1101081512365810948999
317,理工附中南校区,1101081515379847590999
318,福建省新华技术学校,1101081515634689894999
319,中关村中学知春分校,1101081516079794423999
320,北京外国语大学附属中学,1101081522034171672999
321,北京交通大学附属中学东校区,1101081522129598879999
322,中国矿业大学（北京）附属中学,1101081522379064371999
323,北京市中关村外国语学校,1101081546935225398999
324,解放军艺术学院,1101081551665000353999
325,北京市大峪中学,1101090010013411000047341
326,北京市育园中学,1101090010303411000048342
327,北京市门头沟区中等职业学校,1101090020203611000003365
328,首都师范大学附属中学永定分校,1101090060033411000043341
329,北京市八中京西校区,1101091522373911083999
330,北京市房山区实验中学,1101110010323411000023342
331,北京市房山区房山职业学校,1101110012003611000012365
332,北京市房山区社区服务与管理职业学校,1101110012073611000013365
333,北京市房山区房山中学,1101110012193411000024342
334,北京市燕山职业学校,1101110050073611000112365
335,北京师范大学燕化附属中学,1101110060093411000212342
336,北京市房山区周口店中学,1101110090013411000012341
337,北京金隅科技学校,1101110100043611000009362
338,北京中南红星足球学校,1101110102173411000021345
339,北京市房山区琉璃河中学,1101110102183411000013341
340,首都师范大学附属房山中学,1101110110183411000019341
341,北京市房山区良乡中学,1101110112033411000025342
342,北京市农业广播电视学校,1101110112063611000017364
343,北京市房山区财贸职工中等专业学校,1101110112063611000043364
344,北京市园林学校,1101110112073611000010362
345,北京师范大学良乡附属中学,1101110120073411000022342
346,北京市博文学校,1101110122053411000020345
347,北京市房山区第二职业高中(附设普通高中班),1101111032113611000014349
348,北京市房山区第二职业高中(职业高中学校),1101111032113611000014365
349,北京市房山区交道中学,1101111032133411000014341
350,北京四中房山分校,1101111052163411000179341
351,北京辅仁音乐舞蹈学校,1101111052233611000015365
352,北京农业职业学院,1101111052234111012448368
353,北京市房山区长沟中学,1101111082083411000017341
354,北京市房山区南尚乐中学,1101111092073411000016341
355,北京市房山区坨里中学,1101111122203411000015341
356,北京市房山区韩村河中学,1101111152043411000011341
357,北京市通州区第四中学,1101120030013411000313341
358,北京市通州区第二中学,1101120030113411000311341
359,北京市通州区潞河中学,1101120030113411000315341
360,北京潞河国际教育学园,1101120030113411000319341
361,北京市通州区运河中学,1101120040143411000314341
362,北京财贸职业学院,1101120050154111012561368
363,北京市时代中学,1101120052213411000318345
364,北京中华商科学校,1101120052213611000139365
365,北京市现代音乐学校,1101120062163611000138365
366,北京市私立树人·瑞贝学校,1101121042113411000317345
367,北京中加学校,1101121042123411000324342
368,北京市通州区潞州中学,1101121042303411000320341
369,北京市通州区张家湾中学,1101121052013411000321341
370,北京市剑桥中学,1101121142013411000323341
371,北京新城职业学校(附设普通高中班),1101121142013611000136349
372,北京新城职业学校(职业高中学校),1101121142013611000136365
373,北京市通州区永乐店中学,1101121172033411000316341
374,北京市通州区第三中学,1101121192013411000312341
375,北京市第二中学通州分校,1101121192033411000322341
376,北京市通州区第六中学,1101121457874271075999
377,运河育才培训中心,1101121483929813310999
378,北京市第八十中学管庄分校,1101121521958410990999
379,首都师范大学附属中学（通州校区）,1101121522548558661999
380,北京理工大学附属中学通州校区,1101121545197754730999
381,宋庄中学,1101121553561703922999
382,北京现代职业技术学院,1101130020274111012569368
383,北京市顺义区汽车技术职业高中,1101130032123611000089365
384,北京市顺义区第一中学,1101130032213411000274342
385,北京市第四中学顺义分校（北京市顺义区第十中学）,1101130040023411000067341
