rowid,name
537,沈阳理工大学
538,东北大学
539,辽宁科技大学
540,辽宁工程技术大学
541,辽宁石油化工大学
542,沈阳化工大学
543,大连交通大学
544,大连海事大学
545,大连工业大学
546,沈阳建筑大学
547,辽宁工业大学
548,沈阳农业大学
549,大连海洋大学
550,中国医科大学
551,锦州医科大学
552,大连医科大学
553,辽宁中医药大学
554,沈阳药科大学
555,沈阳医学院
556,辽宁师范大学
557,沈阳师范大学
558,渤海大学
559,鞍山师范学院
560,大连外国语大学
561,东北财经大学
562,中国刑事警察学院
563,沈阳体育学院
564,沈阳音乐学院
565,鲁迅美术学院
566,辽宁对外经贸学院
567,沈阳大学
568,大连大学
569,辽宁科技学院
570,辽宁警察学院
571,沈阳工程学院
572,辽东学院
573,大连民族大学
574,大连理工大学城市学院
575,沈阳工业大学工程学院
576,沈阳航空航天大学北方科技学院
577,沈阳工学院
578,大连工业大学艺术与信息工程学院
579,大连科技学院
580,沈阳城市建设学院
581,中国医科大学临床医药学院
582,大连医科大学中山学院
583,锦州医科大学医疗学院
584,辽宁师范大学海华学院
585,辽宁理工学院
586,大连财经学院
587,沈阳城市学院
588,辽宁石油化工大学顺华能源学院
589,大连艺术学院
590,辽宁中医药大学杏林学院
591,辽宁何氏医学院
592,沈阳科技学院
593,大连东软信息学院
594,辽宁财贸学院
595,辽宁传媒学院
596,营口理工学院
597,朝阳师范高等专科学校
598,抚顺师范高等专科学校
599,锦州师范高等专科学校
600,营口职业技术学院
601,铁岭师范高等专科学校
602,大连职业技术学院
603,辽宁农业职业技术学院
604,抚顺职业技术学院
605,辽阳职业技术学院
606,阜新高等专科学校
607,辽宁省交通高等专科学校
608,辽宁税务高等专科学校
609,盘锦职业技术学院
610,沈阳航空职业技术学院
611,辽宁体育运动职业技术学院
612,辽宁职业学院
613,辽宁林业职业技术学院
614,沈阳职业技术学院
615,辽宁理工职业学院
616,大连商务职业学院
617,辽宁金融职业学院
618,辽宁轨道交通职业学院
619,辽宁广告职业学院
620,辽宁机电职业技术学院
621,辽宁经济职业技术学院
622,辽宁石化职业技术学院
623,渤海船舶职业学院
624,大连软件职业学院
625,大连翻译职业学院
626,辽宁商贸职业学院
627,大连枫叶职业技术学院
628,辽宁装备制造职业技术学院
629,辽河石油职业技术学院
630,辽宁地质工程职业学院
631,辽宁铁道职业技术学院
632,辽宁建筑职业学院
633,大连航运职业技术学院
634,大连装备制造职业技术学院
635,大连汽车职业技术学院
636,辽宁现代服务职业技术学院
637,辽宁冶金职业技术学院
638,辽宁工程职业学院
639,辽宁城市建设职业技术学院
640,辽宁医药职业学院
641,铁岭卫生职业学院
642,沈阳北软信息职业技术学院
643,辽宁政法职业学院
644,辽宁民族师范高等专科学校
645,辽宁轻工职业学院
646,辽宁水利职业学院
647,辽宁特殊教育师范高等专科学校
648,吉林大学
649,延边大学
650,长春理工大学
651,东北电力大学
652,长春工业大学
653,吉林建筑大学
654,吉林化工学院
655,吉林农业大学
656,长春中医药大学
657,东北师范大学
658,北华大学
659,通化师范学院
660,吉林师范大学
661,吉林工程技术师范学院
662,长春师范大学
663,白城师范学院
664,吉林财经大学
665,吉林体育学院
666,吉林艺术学院
667,吉林华桥外国语学院
668,吉林工商学院
669,长春工程学院
670,吉林农业科技学院
671,吉林警察学院
672,长春大学
673,长春光华学院
674,长春工业大学人文信息学院
675,长春理工大学光电信息学院
676,长春财经学院
677,吉林建筑大学城建学院
678,长春建筑学院
679,长春科技学院
680,吉林动画学院
681,吉林师范大学博达学院
682,长春大学旅游学院
683,东北师范大学人文学院
684,吉林医药学院
685,长春师范高等专科学校
686,辽源职业技术学院
687,四平职业大学
688,长春汽车工业高等专科学校
689,长春金融高等专科学校
690,长春医学高等专科学校
691,吉林交通职业技术学院
692,长春东方职业学院
693,吉林司法警官职业学院
694,吉林电子信息职业技术学院
695,吉林工业职业技术学院
696,吉林工程职业学院
697,长春职业技术学院
698,白城医学高等专科学校
699,长春信息技术职业学院
700,松原职业技术学院
701,吉林铁道职业技术学院
702,白城职业技术学院
703,长白山职业技术学院
704,吉林科技职业技术学院
705,延边职业技术学院
706,吉林城市职业技术学院
707,吉林职业技术学院
708,吉林水利电力职业学院
709,长春健康职业学院
710,黑龙江大学
711,哈尔滨工业大学
712,哈尔滨理工大学
713,哈尔滨工程大学
714,黑龙江科技大学
715,东北石油大学
716,佳木斯大学
717,黑龙江八一农垦大学
718,东北农业大学
719,东北林业大学
720,哈尔滨医科大学
721,黑龙江中医药大学
722,牡丹江医学院
723,哈尔滨师范大学
724,齐齐哈尔大学
725,牡丹江师范学院
726,哈尔滨学院
727,大庆师范学院
728,绥化学院
729,哈尔滨商业大学
730,哈尔滨体育学院
731,哈尔滨金融学院
732,齐齐哈尔医学院
733,黑龙江工业学院
734,黑龙江东方学院
735,哈尔滨信息工程学院
736,黑龙江工程学院
737,齐齐哈尔工程学院
